,Accuracy,Precision,Recall,FScore
Alex_Standard,0.9934044616876818,1.0,0.9911527452511059,0.9955567171981182
Alex_Aug,0.9782735208535402,0.9986634589681903,0.9721571688784804,0.9852320675105485
Alex_600,0.9835111542192047,0.9989378651088688,0.9789227166276346,0.9888290182678408
Alex_Aug_600,0.9782735208535402,0.9973340442548654,0.9734582357533177,0.9852515143534368
Res_Standard,0.9771096023278371,0.9907773386034255,0.9784022898776997,0.9845509295627126
Res_Aug,0.9619786614936955,0.9908479138627188,0.9578454332552693,0.9740672135485577
Res_600,0.8880698351115421,0.9584503088152723,0.8883684621389539,0.9220796758946658
Res_Aug_600,0.9113482056256063,0.9924374636416521,0.887848035389019,0.9372338964427963
Inception_Standard,0.9693501454898157,0.9898963041744216,0.9687743950039032,0.9792214623882167
Inception_Aug,0.9204655674102813,0.9928222796439851,0.8998178506375227,0.9440349440349439
Inception_600,0.9606207565470417,0.9827586206896551,0.9640905542544886,0.9733350847234992
Inception_Aug_600,0.9288069835111542,0.9838530066815144,0.9195940671350508,0.9506388702084734
